seq,match_status,scope,refs,f1,wer
1,confirmed,completeVerses,1:1|1:2|1:3|1:4|1:5|1:6,0.875,0.5
2,candidate,completeVerses,1:7,0.68,1.0
3,partial,mixed,2:2|2:3|2:4,0.708,0.556
4,partial,mixed,2:4|2:5|2:6,0.815,0.355
5,partial,mixed,2:6|2:7|2:8,0.873,0.294
6,partial,mixed,2:8|2:9|2:10,0.714,0.489
7,partial,mixed,2:11|2:12|2:13,0.762,0.405
8,partial,partialVerse,2:13|2:14,0.667,0.6
9,partial,mixed,2:14|2:15|2:16,0.75,0.559
10,partial,mixed,2:16|2:17,0.852,0.357
11,partial,mixed,2:18|2:19,0.854,0.32
12,partial,partialVerse,2:20,0.809,0.48
13,partial,mixed,2:21|2:22,0.576,0.794
14,candidate,partialVerse,2:22|2:23,0.625,0.605
15,partial,partialVerse,2:23|2:24,0.847,0.364
16,candidate,partialVerse,2:24|2:25,0.634,0.617
17,candidate,partialVerse,2:25|2:26,0.48,0.726
18,partial,partialVerse,2:26,0.806,0.385
19,confirmed,completeVerses,2:27,0.867,0.4
20,partial,mixed,2:28|2:29,0.821,0.438
21,candidate,partialVerse,2:29|2:30,0.538,0.681
22,partial,partialVerse,2:54|2:55,0.672,0.55
23,partial,mixed,2:56|2:57,0.636,0.68
24,partial,partialVerse,2:57|2:58,0.774,0.421
25,partial,mixed,2:58|2:59,0.766,0.395
26,confirmed,completeVerses,2:60,0.966,0.071
27,unmatched,unknown,,0.107,8.0
28,candidate,partialVerse,2:61,0.542,0.678
29,candidate,partialVerse,5:69,0.511,1.2
30,partial,partialVerse,2:62|2:63,0.701,0.436
31,partial,mixed,2:64|2:65,0.885,0.32
32,partial,mixed,2:66|2:67,0.725,0.586
33,candidate,partialVerse,2:70,0.439,1.059
34,partial,mixed,3:2|3:3|3:4,0.783,0.417
35,partial,mixed,3:4|3:5,0.827,0.31
36,candidate,mixed,3:6|3:7,0.548,0.695
37,candidate,partialVerse,3:7,0.554,0.696
38,unmatched,unknown,,0.067,13.5
39,candidate,mixed,3:8|3:9|3:10,0.631,0.591
40,partial,mixed,3:10|3:11,0.912,0.3
41,candidate,mixed,3:11|3:12|3:13,0.646,0.577
42,candidate,partialVerse,3:13|3:14,0.493,0.717
